GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonFactory,27,3,0,0,9,1,1,1,1,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokedexException,4,0,0,0,2,0,1,0,1,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonMetadataProvider,25,36,2,0,3,5,2,1,1,1
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Pokedex,19,55,1,3,3,16,3,7,2,6
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonTrainerFactory,23,0,0,0,6,0,2,0,2,0
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,2,0,2,0,2
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,PokemonComparators,0,41,0,0,0,8,0,3,0,3
ceri-m1-techniques-de-test,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
